C02104
C04322
C00134
C00315
C02918
C14829
C05635
C00322
C00026
C01717
C01188
C03761
C00597
C00695
C00642
C00906
C00262
C14828
C01595
C02679
C03722
C03793
C02714
C03145
C00021
C00160
C00020
C00170
C00499
C00620
C00219
C00062
C03406
C00049
C05852
C03672
C00166
C00099
C00386
C00500
C00120
C00042
C03197
C00187
C00588
C02140
C00791
C00491
C00055
C00092
C00319
C04483
C00111
C02291
C00836
C00016
C00122
C05282
C00257
C00489
C00037
C01921
C00581
C00144
C00388
C00135
C00519
C00294
C00130
C00137
C06418
C00956
C00327
C00123
C00739
C00149
C00073
C02170
C00249
C00153
C01530
C00077
C00295
D00031
C08362
C00079
C00009
C00074
C00148
C00186
C00250
C00473
C00255
C00065
C00780
C00245
C06424
C00086
C00299
C00526
C00785
C00025
C00064
C00188
C00078
C00183
C00534
C00031
C00212
C00719
C00097
C00159
C03626
C00041
C00082
C00383
C02067
C00022
C00106
C00181
C00475
C00216
C00214
DG00125
C00095
C00147
C00380
C00178
C01571
C16535
C06425
C00208
C00121
C00152
C00337
C17714
C01585
C06423
C00089
C16537
C01157
C02348
C00385
C02237
C10164
C00213
C00864
C00346
C00258
C02642
C02710
C02712
C08316
C00486
C01829
C00387
C02477
C00438
C02847
C02946
C05145
C02528
C00158
C00429
C02356
C00366
C07880
C00803
C05283
C01179
C00246
C00270
C00451
C04256
C00357
C04540
C00300
C01159
C16525
C03042
C02494
C00116
C00114
C00108
C20388
C05963
C16512
C19670
C00550
C13875
C06313
C05465
C05122
C05463
C08261
C06428
C00487
C00180
C05629
C07086
C01586
C02470
C08278
C03465
C02989
C01152
C01262
C16741
C15673
C01035
C02656
C02305
C00881
C16245
C0093
C05568
C00328
C00670
C05519
C00624
C00437
C01762
C00379
C02504
C00431
C00490
C03440
C02043
C00233
C07326
C13856
C06124
D03585
C06429
C03264
C01384
C08262
C02294
C20793
C05607
C02990
C15517
C01042
C02571
C05824
C02287
C00209
C00503
C06104
C00141
C01924
C02427
C00284
C01685
C01620
C00880
C00954
C01152
C02862
C17726
C01004
C02678
C00847
C20828
C02360
C03017
C16513
C16533
C16527
C16534
C13910
C08322
C05127
C02835
C05828
C08277
C03139
C10208
C16300
C02838
C02716
C03137
C03519
C02155
C11347
C04102
C02562
C01789
C03916
C05598
C17649
C17647
C02997
C10172
C03150
C05841
C16526
C06426
C004174
C04230
C04230
C00032
C20826
C04100
C04148
C13857
R00900
C04036
C02242
C05842
C05843
C03410
C00268
C00989
C02180
C05100
C08283
C05208
C15532
C16513
C00800
C18043
C17337
C12270
C19615
C03274
C01233
C15515
C05382
C01181
C05131
C00811
C12989
C02727
C03242
C00392
C13637
C09908
C21013
C21189
C03738
C02630
C01073
C00606
C04805
C14777
C19837
C14767
C00599
C03592
C03727
C06677
C00940
C04039
C00439
C05565
C00059
C03079
C02076
C03771
C17644
C01744
C16995
C14240
C18218
C15987
C01279
C01104
C02728
C00376
C11142
C12312
C03884
C00437
C05653
C04100
C00502
C01227
C17333
C00379
C01074
C02226
C05208
C03889
C21297
C01251
C21944
C05210
C05210
C05208
C04317
D03836
C00165
C18142
C01029
C20631
C08493
C05545
C00803
C16462
C02370
