NAME	LSEC	hepatocytes	KC	B cells	HSC	cholangiocytes	T cells	DC/monocyte	proliferating cells
Carmn	1	1	1	1	302.504267912203	1	1	1	1
Casd1	1	91.4949132419232	1	225.643128300227	1	1	1	1	208.951440434549
Casp4	232.005143755111	1	1	1	1	1	1	1	1
Casp7	1	1	1	1	1	1	1	1	365.43431245367
Cav2	1	1	1	1	1	1	1	1	205.57888574216
Cavin2	496.07835251748	1	1	1	1	1	1	1	1
Cbfa2t3	388.512371974667	1	1	244.047974943795	1	1	1	1397.03919132271	423.866952174397
Cbs	1	483.701545558205	1	1	1	1	1	1	1
Cbx1	1	1	1	1	1	1	1	1	297.763329429381
Cbx3	1	1	1	1	1	1	1	1	222.911683129698
Cbx5	1	1	1	1	1	246.646815529233	1	1	836.461969049212
Cbx6	1	1	1	1	1	312.119649286289	1	1	180.170677192538
Ccbe1	1	1	1	1	1849.7601890167	1	1	1	1
Ccdc141	1	1	1	1	209.260288621055	1	1	1	1
Ccdc148	1	1	340.864674497675	1	1	1	1	1	1
Ccdc186	1	1	1	1	1	1	1	1	187.974009661173
Ccdc68	1	1	1	1	368.328685414182	1	1	1	1
Ccdc80	1	1	1	1	391.393349919558	1	1	1	1
Ccdc82	1	1	1	1	239.34693452764	1	290.574378520689	1	312.628530538888
Ccdc88c	1	1	1	540.422726517998	1	209.01012203574	625.076478394072	1	1
Cchcr1	1	1	1	1	1	1	1	1	461.059828257946
Ccl6	1	1	342.858220993887	1	1	1	1	1	1
Ccm2	1	1	1	399.209863809078	1	1	319.057616651399	1	151.530017455249
Ccm2l	488.985745633977	1	1	1	1	1	1	1	318.677799685002
Ccn1	1	1	1	1	283.834415716344	1	1	1	1
Ccn2	1	1	1	1	536.60124991455	1	1	1	1
Ccnd1	1	1	1	1	1	274.33304259724	1	472.136247302572	1
Ccnd2	1	1	1	1	1	1	564.547009985093	215.510305596963	1
Ccnf	1	1	1	1	1	1	1	1	193.052102444528
Ccp110	1	1	1	1	1	1	1	1	226.052800254128
Ccr2	1	1	1	1	1	1	1	624.278407231486	1
Ccr5	1	1	599.467445848662	1	1	1	245.020355406243	1	1
Ccr7	1	1	1	1	1	1	1	289.800261845563	1
Ccs	1	288.367854143961	1	1	1	1	1	1	1
Ccser1	1	1	1	1	1	1	1	1162.19528514569	1
Cd163	1	1	1337.32429685861	1	1	1	1	1	1
Cd164	1	1	194.079028708219	1	1	1	1	1	1
Cd180	1	1	211.370415264816	321.680184911847	1	1	1	583.42739398825	1
Cd19	1	1	1	797.91837636597	1	1	1	1	1
Cd1d1	1	240.829079164518	1	1	1	1	1	1	1
Cd200r1	1	1	1	1	224.224825594348	1	183.242439354953	1	1
Cd22	1	1	1	542.486945302188	1	1	1	1	1
Cd226	1	1	1	1	1	1	2005.72437144776	1	1
Cd244a	1	1	1	1	1	1	1	433.181703658055	1
Cd247	1	1	1	1	1	1	610.629974658006	1	1
Cd27	1	1	1	1	1	1	204.487049872592	1	1
Cd28	1	1	1	1	1	1	427.253074667282	1	1
Cd300a	1	1	456.170199573645	1	1	1	1	1	1
Cd300c	1	1	1	345.359250592712	1	1	1	1	1
Cd300c2	1	1	339.859663309101	1	1	1	1	1	1
Cd300lb	1	1	209.398252619073	1	1	1	1	1	1
Cd300lf	1	1	646.770064820013	1	1	1	1	1	1
Cd300lg	567.688462322247	1	1	1	1	1	1	1	175.452762412458
Cd302	1	398.212528326289	202.754741917554	1	1	1	1	1	1
Cd36	1421.61959473202	1	336.803226541455	219.925298769831	1	1	1	477.339130662038	948.173943406689
Cd37	1	1	1	1087.02854884189	1	1	260.375539063521	1	1
Cd38	1290.19824299076	1	1129.10502180645	529.27633931075	1	1	475.858605355133	1	734.992128024395
Cd3d	1	1	1	1	1	1	276.249121556573	1	1
Cd3e	1	1	1	1	1	1	369.329658994212	1	1
Cd3g	1	1	1	1	1	1	302.802499670593	1	1
Cd44	1	1	1161.25516201009	384.144532561548	1	1	580.613453105203	426.510680693631	1
Cd48	1	1	250.180264409412	1	1	1	265.547782729096	1	1
Cd52	1	1	1	164.175900229396	1	1	321.75004382773	376.091783186611	1
Cd53	1	1	265.618591093873	476.634212933191	1	1	423.753991344902	179.094169696128	1
Cd55	1148.52782284396	1	1	493.745740872064	1	1	1	1	730.304559415271
Cd59a	304.49664382236	1	1	1	1	1	1	1	183.326037484601
Cd5l	1	1	3762.12329041096	1	1	1	1	1	1
Cd6	1	1	1	1	1	1	365.128122101748	1	1
Cd68	1	1	221.104802264112	1	1	1	1	1	1
Cd72	1	1	275.772423111953	289.661522824577	1	1	1	1	1
Cd74	1	1	1717.92795267372	4076.53086378945	1	1	1	6974.78307649707	1
Cd79a	1	1	1	988.401105818986	1	1	1	1	1
Cd79b	1	1	1	819.327102270725	1	1	1	1	1
Cd80	1	1	1	1	1	1	1	301.546459663397	1
Cd82	1	1	1	1	1	1	262.826444723247	1	1
Cd83	1	1	1	1	1	1	1	423.295009020779	1
Cd84	249.297907972509	1	940.896613150973	1	1	1	466.06412677771	1	1
Cd86	1	1	724.169103726123	1	1	1	1	931.333364681158	1
Cd9	1	1	1	1	1	268.345880450015	1	1	1
Cd93	242.045865588298	1	1	1	1	1	1	1	1
Cdan1	1	1	1	1	1	1	1	1	197.010710731547
Cdc14a	247.981056233588	1	1	1	1	1	1	500.685823084922	1
Cdc25b	1	1	1	1	1	1	1	1	225.319686492487
Cdc27	260.969856907693	1	1	1	1	1	178.808037830006	1	248.246782748424
Cdc42ep1	1	1	1	1	1	231.522389341952	1	1	1
Cdc7	1	1	1	1	1	1	1	1	276.342150768656
Cdca2	1	1	1	1	1	1	1	1	314.56772116616
Cdca8	1	1	1	1	1	1	1	1	273.125468357165
Cdh1	1	1	1	1	1	1072.11120429264	1	1	1
Cdh13	743.553041762992	1	1	1	1	1	1	1	350.419567738552
Cdh18	1	231.193290231481	1	1	285.000212798794	1	1	1	1
Cdh2	1	830.283534375421	1	1	1561.73004921829	1	228.511867633481	1	1
Cdh4	615.498026681924	1	1	1	1	1	1	1	1053.06406068908
Cdh5	441.567560673793	1	226.443098638078	1	1	1	1	1	280.312174254139
Cdh6	1	1	1	1	1	327.85391572459	1	1	1
Cdk11b	1	120.162963925118	1	173.85737085933	1	1	1	1	1
Cdk14	1	1	657.243605887792	1	1271.66622887464	370.189616001946	1	3249.54236383526	1
Cdk9	1	1	217.81623028162	1	1	1	1	1	1
Cdkn1a	1	1	1	1	1	1	1	1	174.194651239088
Cdkn1b	1	1	1	1	1	1	333.173875299077	1	1
Cdkn2c	1	1	1	1	1	1	1	1	322.951602088264
Cdon	1	1	1	1	1	1	1	229.17225025982	1
Cds2	265.405123076959	1	1	1	1	1	249.935253378445	1	1
Cdv3	1	1	1	1	1	1	1	1	184.872270666225
Cdyl	1	1	1	1	1	1	1	288.235017476639	185.164902084357
Cdyl2	1	1	1	1	1	1	203.161952608372	1	1
Cebpd	1	1	1	1	236.377822988695	1	1	1	1
Cebpg	1	1	211.295762240941	1	1	1	1	1	1
Cecr2	1	222.125315363463	1	1	1	1	1	1	1
Celf4	1	1	1	1	1	1	1	1	125.031365860335
Cemip2	3809.68267241164	1	1	637.473200248277	1	334.376766373459	392.476140444645	1	1625.6245953857
Cenpa	1	1	1	1	1	1	1	1	174.833299778486
Cenpc1	1	1	1	1	1	1	1	1	337.00889719098
Cenph	1	1	1	1	1	1	1	1	241.98747821693
Cenpi	1	1	1	1	1	1	1	1	342.707502532602
Cenpk	1	1	1	1	1	1	1	1	258.854307944576
Cenpl	1	1	1	1	1	1	1	1	303.756129566072
Cenpp	1	1	1	1	1	1	1	1	1335.48984885175
Cenpq	1	1	1	1	1	1	1	1	226.834981343164
Cenpt	1	1	1	1	1	1	1	1	163.792634637484
Cep112	1	1	1	1	1	322.551609213971	1	1	616.152176354142
Cep128	1	1	1	1	1	1	1	380.26723507553	860.881368122408
Cep152	1	1	1	1	1	1	1	1	190.833003976538
Cep192	1	1	1	1	1	1	280.558238792786	243.810206450459	456.113664650514
Cep295	1	1	1	1	1	1	1	1	293.877205727538
Cep57l1	1	1	1	1	1	1	1	1	356.811976043797
Cep83	301.679644490042	1	1	1	1	1	1	1	571.946170599891
Cep85	1	316.555933688295	1	1	1	1	152.861859998041	1	1
Cep85l	1	634.093644909578	1	1	1	1	224.308245133196	233.62665276752	1
Cerk	280.377650544877	1	563.995598181506	506.941822971912	1	1	1	1	185.482550524261
Cers2	1	199.94117183285	1	1	1	1	167.038191236336	1	1
Cers4	269.162057964146	1	1	1	286.676634843059	220.018640333687	1	1	187.905971539658
Cers5	1	1	1	1	1	1	1	264.632370995235	199.654493100652
Ces1c	1	200.31560288787	1	1	1	1	1	1	1
Ces1d	1	210.48430046978	1	1	1	543.227265487938	1	1	1
Ces3a	1	1112.72653212788	1	1	1	1	182.687063784243	1	1
Ces3b	1	1842.97133082631	1	299.273087049701	1	1	500.878457647212	1	1
Cfb	1	184.685588497197	1	1	1	1	1	1	1
Cfdp1	218.169418055066	94.7664612823624	1	1	1	1	1	1	1
Cfhr2	1	289.968926968246	1	1	1	1	1	1	1
Cfl1	1	1	1	1	1	1	1	153.344876241792	1
Cfp	1	1	755.949151086729	1	1	1	1	1	1
Cftr	1	1	1	1	1	592.686895766526	1	1	1
Cgn	1	1	1	1	1	530.362928457066	1	1	1
Cgnl1	1	158.58344486244	1	1	1	186.287882391111	1	1	1
Chdh	1	201.87918662014	1	1	1	312.467987566346	1	1	1
Chek2	1	1	1	1	1	1	1	1	179.020772689341
Cherp	1	1	1	1	1	1	1	1	292.083861397162
Chic1	1	1	1	1	1	1	1	1	246.538290491006
Chka	1	177.046684029128	283.598438059029	1	1	1434.63312978682	1	223.572866076173	1
Chkb	1	141.407836597278	179.407782166964	1	1	1	1	1	1
Chn2	1	236.26513257154	227.703954431414	1	1	1	1023.48621911313	443.360457871795	1
Chp1	1	302.885623195577	1	1	1	207.653435430062	1	1	1
Chpt1	1	254.852563056683	1	1	1	1	1	1	1
Chrm3	1	312.313172923499	1	1	1	1045.12039279906	1	1	1
Chst11	1	1	1	1	1	1	1	542.889167819876	1
Chst15	247.721160711112	1	1	1	260.029479343579	1	1	1	1
Chst3	1	1	1	385.966898466429	1	1	1	1	1
Chsy1	1	1	1	1	337.305325746924	1	421.467367753273	1	1
Chsy3	1	355.063924596999	1	1	397.08481290819	1	1	1	264.460994790299
Cic	1	1	1	220.956601975861	1	1	1	1	1
Ciita	1	1	1	1	1	1	1	1302.74931485791	1
Cit	1	1	1	1	1	1	1	1	747.751958702903
Ckap2	1	1	1	1	1	1	1	1	569.235483202302
Ckap2l	1	1	1	1	1	1	1	1	295.114961090919
Ckap4	1	1	1	1	1	1	1	1	260.064911344387
Clca3a1	1	1	1	1	746.720108343695	1	1	1	1
Clcf1	1	1	1	1	1	233.156377670079	1	1	1
Clcn5	271.118143064407	1	211.911564684976	270.938961318403	1	1	1	1	303.458312677547
Clcn7	1	102.949266584756	205.735477367627	1	1	1	1	1	1
Cldn3	1	1	1	1	1	315.324610933948	1	1	1
Cldn5	232.37803444708	1	1	1	1	1	1	1	1
Clec12a	1	1	403.377345846683	1	1	1	1	214.957886231022	1
Clec14a	301.551581126947	1	1	1	1	1	1	1	1
Clec16a	1	1	1	1	1	1	175.787570495255	242.173476233393	1
Clec1a	372.470323358222	1	1	1	1	1	1	1	252.66030187877
Clec1b	293.162284279813	1	411.338450593458	1	1	1	1	1	1
Clec4f	1	1	5372.32379896918	1	1	1	1	1	1
Clec4g	1495.60732016736	1	1	292.383768104411	1	1	1	1	642.9367698645
Clmn	1	374.534947963701	1	1	1	1110.69491931706	1	1	1
Cln3	1	1	285.689307467958	1	1	1	1	187.622260825131	1
Clnk	1	1	1	1	1	1	1	159.138062895037	1
Clpx	1	165.145579748759	1	1	1	216.893251886111	1	1	1
Clspn	1	1	1	1	1	1	1	1	260.18229434087
Clta	1	1	193.736210572879	1	1	1	1	248.715974776972	1
Clu	1	435.949941423802	1	1	1	8506.47509413356	199.757678764457	1	1
Cluh	1	394.034702727511	1	1	1	247.166396374054	187.016505027872	1	1
Clybl	1	261.746165547242	1	1	1	1	1	1	1
Cmah	1	1011.5746332614	1	984.844373531339	1	1	435.308007543554	1	1
Cmc4	1	1	1	1	1	1	1	1	241.095212523122
Cmklr1	1	1	267.47787343849	1	1	1	1	1	1
Cmtm3	1	1	279.061612053868	1	1	1	1	1	1
Cmtm4	1	1	1	1	1	1	1	1	223.79580050522
Cmtm7	1	1	198.087936011072	264.435750680488	1	1	1	292.950626255255	1
Cmtm8	391.229515345042	172.814079364612	1	1	1	1	1	1	185.93183160532
Cnksr3	928.818275930338	1	1	1	260.570987560173	217.799326126006	1	1	589.739908926852
Cnn2	1	1	1	1	226.577479502736	1	293.506096756109	359.313014830904	1
Cnn3	1	113.962692812032	1	1	281.655580346886	1	1	1	1
Cnot10	1	1	1	1	1	1	1	1	190.107157794458
Cntln	246.625371947706	1	1	1	1	1	1	1	498.061842091581
Cobl	1	180.886327509748	1	1	1	347.737937144556	1	1	1
Cog3	1	1	1	1	1	1	1	1	169.165802947088
Col13a1	557.033081846859	1	1	1	1	1	1	1	265.493610078969
Col14a1	1	1	1	1	2132.58312262474	1	1	1	1
Col18a1	1	779.842894929441	1	1	1	1	171.432299168768	1	1
Col1a1	1	1	1	1	430.988497704933	1	1	1	1
Col1a2	1	1	1	1	578.155402915799	1	1	1	1
Col3a1	1	1	1	1	1517.45031388142	1	1	1	1
Col4a1	413.264796176752	1	1	1	1066.22279305442	1	1	1	541.250128404851
Col4a2	333.576507698285	1	1	1	683.851326224356	1	1	1	583.118544397384
Col4a5	1	1	1	1	1	756.199263613471	1	1	1
Col5a1	1	1	1	1	601.154090249985	1	1	1	1
Col5a2	1	1	1	1	653.053692855102	1	1	1	1
Col5a3	1	458.341831287128	1	1	1	1	1	1	1
Col6a1	1	1	1	1	237.426117769583	1	1	1	1
Col6a3	1	1	1	1	934.887954899816	1	1	1	1
Colec10	1	1	1	1	1015.06003828613	1	1	1	1
Colec11	1	1	1	1	834.740876958149	1	1	1	1
Colec12	1	402.781021382004	814.71516177875	1	1	1	1	1	1
Colgalt1	1	1	409.512798276806	1	1	1	1	192.764093077586	1
Copg2	1	1	1	1	1	1	1	502.855217412212	1
Copz1	1	106.771553014379	1	186.158892961737	1	1	1	1	1
Coq10b	1	367.626924067354	1	1	1	1	1	1	1
Coro1a	1	1	1	506.746632932665	1	1	780.044253328408	578.590939093135	1
Coro1c	1	1	1	1	452.022788888784	1	1	234.289520522257	348.22263460518
Coro2a	1	1	1	303.837295727267	1	1	700.023989521867	480.240287200732	1
Coro2b	325.545302780863	1	1	1	1	1	1	1	241.901298722509
Coro7	1	1	434.902015546024	1	1	1	1	243.995179566719	1
Cotl1	1	1	230.6898487441	1	1	1	1	1	1
Cox4i1	1	1	1	179.118019695319	1	224.970413129828	1	186.893665052277	1
Cp	1	1279.06281371712	1	233.415197135971	1415.42904350322	7191.91606509961	1	1	1
Cpd	1	1	1	1	1	213.370916971258	1	1	253.756132928552
Cpeb1	1	1	1	1	1	259.217281766694	1	1	1
Cped1	1	710.539877144679	1	347.021754948907	3439.78552199159	1	157.475095400787	1	1
Cplane1	1	1	1	1	218.587984217439	210.475812392394	1	196.722786843723	1
Cpne1	1	1	1	202.847671443976	1	1	1	1	95.3198846783392
Cpne8	427.976797844491	1	1	1	358.099120979057	625.246663155698	1	1	325.141674614647
Cr2	1	1	1	332.007059609546	1	1	1	1	1
Cramp1l	1	93.0997275387323	1	1	1	1	1	1	280.00305831241
Creb3l2	329.435956511053	1	207.039386909987	217.753131923779	254.471475816392	1	1	1	1
Creb3l3	1	627.022458846381	1	1	1	1	1	1	1
Crebzf	1	1	1	244.853093284225	1	1	1	199.326596685453	165.032871249469
Creg1	1	1	287.542050155223	1	1	1	1	1	1
Crem	1	250.643582324787	1	1	1	1	1	1	1
Crip1	1	1	1	1	1	1	1	203.198422133013	1
Crlf3	1	1	322.797266159389	672.919246556192	1	1	519.294442878532	338.558833961699	1
Crp	1	276.836809561487	1	1	1	551.818598666784	1	1	1
Crtc3	1	1	1	1	278.244636127214	1	1	1	1
Csad	1	1	1	1	1	1	1	287.616203115324	1
Csf1	1	1	1	1	219.575450358692	1	1	1	1
Csf1r	1	1	1265.68391161733	1	1	1	1	1	1
Csf2ra	1	1	676.460472862504	1	1	1	1	777.651202164051	1
Csf2rb	1	1	454.663606912354	193.477958049204	1	1	1	503.092242201136	1
Csf3r	1	1	373.227413064998	1	1	1	1	1	1
Csgalnact1	473.969051377698	1	1	1	1	1	1	1	490.51668864677
Csmd1	410.84397194705	1	1	1	1	1	1	1	470.106183589618
Csnk1g2	1	108.005361877029	1	1	1	1	256.386819710913	191.33031880048	1
Csnk2a1	1	124.318505750591	1	256.931677367255	1	1	1	1	1
Cst3	1	1	200.361446733207	1	286.607036765581	1	1	2199.03196601902	1
Ctc1	1	1	1	1	1	1	1	1	158.327407217154
Ctcflos	1	1241.64129493546	1	1	1	1	234.841511167855	1	1
Ctdspl	500.097870903393	1	1	1	745.669729249496	714.788266678561	1	1	552.604383393107
Ctdspl2	1	1	1	1	169.170271265711	1	307.911008716831	1	260.169579763993
Cth	1	702.589522819468	1	1	1	1	187.468711841335	1	1
Ctla2b	1	1	287.206902092786	1	1	1	1	1	1
Ctnna2	1	1	1	1	1	475.511059067444	1	1	1
Ctnnb1	222.441713712817	1	1	1	1	285.412786746869	1	1	228.003897143192
Ctnnd2	1	1	1	1	1	1056.81352360609	1	1	1
Ctps2	1	1	1	1	1	215.799072514601	250.223099986242	1	1
Ctsa	1	1	770.672298111405	229.998453822109	1	1	215.708204469312	1	1
Ctsc	1	1	1377.93021628461	258.967716692021	1	1	187.921339745692	215.991909931923	1
Ctsd	264.043063489183	1	1427.03569105845	1	1	248.144316944663	279.756218229746	1	196.634879078339
Ctsh	1	1	563.029801766929	360.731501736138	1	1	1	502.308115545666	1
Ctso	1	1	1	226.108843455573	1	1	1	1	1
Ctss	1	1	1145.25628815949	275.868807630462	1	1	1	563.853631293164	1
Ctsw	1	1	1	1	1	1	637.920333206954	1	1
Ctsz	1	1	398.940748715685	308.940348133803	1	1	1	400.710943282348	1
Cttnbp2	1	1	1	1	1	475.115541696609	1	1	1
Cttnbp2nl	1	1	339.978113087646	1	1	1	1	1	1
Cuedc1	262.131068884683	1	1	1	308.65413205734	240.919498747398	1	1	212.560883213942
Cxadr	1	156.944822871009	1	1	1	331.6535516742	1	1	1
Cxcl12	1	91.216003715558	1	1	1341.80698818089	1	1	1	1
Cxcl16	1	1	219.950309091626	1	1	1	1	347.943866827957	1
Cxcr4	1	1	1	411.158236944428	1	1	1	1	1
Cxcr6	1	1	1	1	1	1	307.341239728114	1	1
Cyb561a3	1	1	1	380.411755089214	1	1	1	233.941219563849	1
Cyb5b	1	191.372104886181	1	318.382661848649	1	1	230.590890631536	1	1
Cyba	1	1	292.528658704953	1	1	1	219.470643421697	1	1
Cybb	1	1	691.330950507723	270.429144186549	1	1	1	1	1
Cybc1	1	1	1	262.221200463579	1	1	1	1	1
Cyfip2	1	1	1	428.599338757828	1	1	514.459816556104	384.250837183438	1
Cygb	1	1	1	1	267.506834787955	1	1	1	1
Cyp20a1	1	1	1	1	503.012364310356	1	1	1	1
Cyp21a1	1	170.685581327233	1	1	1	1	1	1	1
Cyp26b1	442.457747660153	1	1	1	1	1	1	1	570.117990687998
Cyp2c29	1	934.079205643749	1	1	1	1	1	1	1
Cyp2c70	1	1356.61394452941	1	1	1	1	1	1	1
Cyp2d10	1	315.443892352325	1	1	1	1	1	1	1
Cyp2d22	1	257.877210344946	1	1	181.419687733547	269.679341620351	1	1	1
Cyp2d26	1	327.02178645838	1	1	1	1	1	1	1
Cyp2d9	1	442.139641848086	1	1	1	1	1	1	1
Cyp2e1	1	1010.93618962223	1	1	1	1	396.97351442822	1	1
Cyp2f2	1	742.569095562736	1	1	1	1	288.737745252414	1	1
Cyp2j5	1	425.581334780634	1	1	1	1	1	1	1
Cyp3a13	1	219.658608433366	1	1	1	1	1	1	1
Cyp3a25	1	1293.79235083076	1	1	1	1	322.28332755231	1	1
Cyp4a10	1	157.678917373519	1	1	1	1	1	1	1
Cyp4b1	624.749590623822	1	1	1	1	1	1	1	351.017785661773
Cyp4f15	1	430.205731682539	1	1	1	1	1	1	1
Cyp4v3	1	176.335864518838	1	1	1	1	1	1	1
Cyp7a1	1	213.617917936137	1	1	1	1	1	1	1
Cys1	1	1	1	1	1	239.847169966044	1	1	1
Cysltr2	1	1	1	1	1	1	303.222571237054	1	1
Cyth3	320.97567984649	1	1	1	272.405857521929	1	1	1	221.67960819565
Cyth4	1	1	578.758379543893	490.884258709885	1	1	210.397230596567	508.570972115088	1
Cytip	1	1	1	518.821508029349	1	1	608.753256574532	740.691598635374	1
Cyyr1	2570.79506574452	1	1	397.732994536883	1	1	264.695176897731	1	1258.11395779918
D230025D16Rik	1	354.661705847396	1	1	1	1	1	1	1
Daam1	288.848419923761	188.037629891579	1	1	792.478751074623	220.890965254718	1	1	171.185984165014
Daam2	1	1	1	1	503.422198319366	1	1	1	1
Dab1	1	1	1	1	1	214.172648201324	1	1	1
Dab2	1951.07377722138	1	976.729168240969	296.229058210442	1	385.673941419851	1	1	1119.80682413188
Dab2ip	250.299407955546	1	1	1	1	1	1	1	147.289417020459
Dach1	1	1	1	1	763.06595023943	1	1	1	1
Dag1	1	1	1	1	1	212.668275801406	1	1	1
Dalrd3	1	108.965161423509	1	144.862651668499	1	464.832797709139	1	1	1
Dap	1	179.527181246656	1	1	1	1	1	1	1
Dapk2	449.308740763564	1	1	1	421.80508332939	1	1	1	177.294105722467
Dapp1	1	1	191.968802338744	418.303699647864	1	1	1	491.575177672957	1
Dbnl	1	1	1	329.669752457912	1	1	1	223.846514926663	1
Dcaf11	1	222.99117778565	1	1	1	1	1	1	1
Dcbld1	498.341196992625	1	1	1	1	356.631142265886	1	1	476.019104108124
Dcbld2	1	1	1	1	222.717769417725	1	1	1	1
Dcdc2a	1	1	1	1	1	718.511548523081	1	1	1
Dclk2	1	1	1	1	1	1	1	1	265.773537024734
Dclre1c	1	1	297.70598089154	1	1	1	1	1	1
Dcn	1	1	1	1	4084.68935061802	1	1	1	1
Dcp2	1	1	1	1	1	1	1	155.306715445797	1
Dctn1	1	1	1	1	1	1	1	1	171.777330601642
Dctn4	1	1	1	1	1	1	1	1	245.319828354816
Dcun1d1	1	122.745377704159	1	315.484492373204	1	1	1	1	1
Ddc	1	510.737779503241	1	1	1	1	1	1	1
Ddr1	1	1	1	1	1	418.05921305174	1	1	1
Ddr2	1	1	1	1	400.450793011546	1	1	1	1
Ddx10	1	89.3543647473625	1	1	1	1	205.934104053389	240.71424276919	1
Decr1	1	178.500867365709	1	1	1	1	1	1	1
Decr2	1	206.632197650341	1	1	1	1	1	1	1
Def6	1	1	1	1	1	1	282.936997075639	1	1
Degs1	786.740885136258	1	1	1	1	1	1	1	368.823303391665
Dek	1	1	1	1	1	1	1	304.819714349815	441.92234756836
Dennd2a	1	1	1	1	619.528242902687	1	1	1	1
Dennd3	285.600527374247	1	1	211.39218825218	1	1	1	1	1
Dennd4a	1	125.996775013021	1	862.896343622589	1	1	1231.36538464504	797.911109434135	1
Dennd4b	1	1	179.058815285099	1	1	1	1	423.423300900757	1
Dennd4c	238.945583791669	99.4937566938087	1	1	1	1	272.141020439906	1	233.836347729832
Depdc1a	1	1	1	1	1	1	1	1	237.031207757988
Depdc1b	1	1	1	1	1	1	1	1	278.491758271768
Depdc5	1	1	1	1	1	1	1	1	255.723977696192
Deptor	1	425.082932471865	1	1	1	289.174837575247	1	1	1
Derl2	1	217.261229270514	1	1	1	1	1	1	314.757089165985
Dgat2	1	456.774453229086	1	1	1	1	1	1	1
Dgcr8	1	1	1	1	1	1	1	1	299.41596124552
Dgka	1	1	1	297.931821649893	1	1	776.763284882646	1	1
Dgkd	1	1	1	568.99535294165	1	238.462456739563	383.764760934949	1	1
Dgkh	682.913826029383	1	1	246.456255297999	377.472931830434	1	1	166.439892151448	524.099121661364
Dgkq	1	165.075427410033	1	1	1	1	1	1	1
Dhcr24	1	167.427041074187	1	1	1	1	1	1	1
Dhdds	1	1	1	1	1	1	1	1	213.335938517091
Dhrs3	510.121969893335	97.5994201977808	1	1	225.25385902651	477.116812150499	1	1	277.164028701142
Dhtkd1	1	281.337094622672	1	1	1	1	1	1	1
Dhx30	1	1	1	1	1	1	1	1	180.616267843273
Dhx40	1	1	267.889344679005	1	1	1	1	1	159.100024441487
Diaph3	1	1	1	1	1	1	1	265.215553932175	1150.35905236397
Dido1	1	110.858402759631	1	203.628367578604	1	1	1	1	1
Dipk1a	1	1	1	376.411878764163	1	1	1	281.659382730764	1
Disc1	1	1	1	1	1	1	1	183.921312871548	1
Dixdc1	1	1	1	1	1	224.453049149252	1	1	1
Dlgap1	1	169.817158763803	1	1	1	1	1	1	1
Dlst	1	201.702296064722	198.626323063007	1	1	1	1	1	1
Dmgdh	1	262.083728668973	1	1	1	1	1	1	1
Dmpk	245.689058247528	1	2537.75805101659	193.638054579701	272.870967863945	1	1	1	258.548959088071
Dna2	1	1	1	1	1	1	1	488.648708106513	230.311468640693
Dnajb14	1	1	246.677719218651	1	1	1	1	391.512453773478	1
Dnajc10	1	1	1	1	1	1	1	1	163.685907776979
Dnajc11	1	169.975641419291	1	1	1	1	1	1	1
Dnajc12	1	230.187321584229	1	1	1	1	1	1	1
Dnajc8	1	1	1	1	1	1	1	239.137712146621	1
Dnase1l3	1352.25033977639	1	1	342.740608687687	1	1	1	394.524745323721	662.677104785621
Dnase2a	1	1	301.961924601851	1	1	1	1	1	1
Dnm3os	243.940281052986	1	1	1	299.443037269122	1	1	1	1
Dnmt1	1	1	1	1	1	1	1	1	285.157396724948
Dock10	1	1	2075.26944820975	1157.86217332387	648.980254405267	1	2911.98587754247	3439.21071945187	1
Dock11	1	1	416.671339102037	720.563265528919	1	1	804.569626545593	608.068425557432	1
Dock2	1	1	3151.20802680661	6403.91970723427	1	1	8030.05674039838	5458.29032911368	1
Dock5	1	127.772442947527	1	1	1	259.399526630261	1	831.417703657879	1
Dock6	643.417582019281	1	1	1	667.492003260576	1	1	1	361.044837157284
Dock9	487.565973932872	1	1	1	1	329.549546084952	1	1	174.892966699987
Dok2	1	1	199.583356509053	1	1	1	256.067890256987	1	1
Dok3	1	1	344.943439386031	520.51574174027	1	1	1	1	1
Dop1b	1	182.552909332919	1	1	1	498.550613799585	231.209849599209	1	1
Dpagt1	1	1	1	1	1	1	1	1	205.635156411836
Dpy19l1	1	287.296030683596	1	212.356736713441	1	1	1	402.222043839394	1
Dpy19l4	521.247211725463	1	1	1	1	239.460477828056	1	229.6174745115	288.71572367628
Dpys	1	262.113015852816	1	1	1	1	1	1	1
Dpysl2	1	1	1	1	263.016403891572	1	1	1	1
Dpysl3	1	1	1	1	1	1	1	1	387.973593578274
Dram2	234.387641490563	1	636.532567749089	1	1	1	1	1	1
Dsg2	1	1	1	1	1	2230.0010377367	1	1	1
Dsn1	1	1	1	1	1	1	1	1	123.177110913853
Dtl	1	1	1	1	1	1	1	1	404.460719358953
Dtx3	1	1	1	1	345.439338540489	1	1	1	1
Dusp1	1	205.484666449338	621.371659663697	1	259.654985170408	1	1	1	1
Dusp16	1	190.859749651525	1	1	1	294.24658287423	1	213.045307448642	1
Dusp2	1	1	1	1	1	1	728.131717404761	1	1
Dusp3	226.231622008466	1	1	1	1	1	1	1	259.368012775196
Dusp5	1	1	1	1	1	1	1	356.722921092426	1
Dync1i2	233.644432064413	1	1	1	196.599054383939	224.219564365651	1	191.094360165755	1
Dync2h1	1	1	1	1	1	302.221491682726	1	1	1
Dynll2	1	1	1	1	1	1	1	215.371616872432	1
