NAME	LSEC	hepatocytes	KC	B cells	HSC	cholangiocytes	T cells	DC/monocyte	proliferating cells
Adgrg3	392.879002833637	1	1	1	1	1	1	1	197.052710496766
Adgrg6	1	1	1	1	1	245.724794172782	1	1	1
Adgrl1	1	1	1	1	347.288876399685	1	1	1	280.918176430209
Adgrl3	1	1	336.212665875627	1	315.364832268531	1	1	1	1
Adgrl4	2174.98977352418	1	1	309.07632103276	1	1	239.741229648628	1	1138.63454845683
Adhfe1	1	158.054151945091	1	1	1	1	1	1	1
Adipor1	1	1	180.876097793992	1	1	1	1	1	1
Adra1b	1	311.777413128564	1	1	1	1	1	1	1
Adrb1	1	1	250.358617236316	1	1	1	1	1	1
Adss	1	1	1	1	1	1	1	1	183.253965658485
Adtrp	1	270.984910640664	1	1	1	1	1	1	1
Aebp2	1	1	1	1	1	1	287.47624064864	250.813970317325	1
Afap1	1	1	1	1	283.034099401709	1	1	1	1
Afap1l1	484.8062407632	1	1	1	1	1	1	1	339.904284293253
Afap1l2	1	1	1	1	195.371411986881	1	1	1	1
Afdn	247.073235534743	163.842040696314	1	1	1	635.687673977694	1	1	369.085271440166
Aff3	1	1	1	2172.989597138	1	1	330.860485485534	399.963513322776	1
Afg1l	248.493651066592	118.978078564978	1	1	1	1	1	1	235.569253759247
Afm	1	199.188426170035	1	1	1	1	1	1	1
Agap3	1	1	1	1	1	1	1	1	155.804985141102
Agbl1	1	1	1	584.37956915286	1	1	1	1	1
Agfg2	265.317626699496	1	1	1	1	1	1	1	147.753028378758
Agmat	1	187.429353834797	1	1	1	1	1	1	1
Agpat3	1	178.3279566687	1	1	1	1	341.889044158851	1	1
Agpat5	326.099553717361	1	1	1	1	1	1	1	269.345766673049
Agrn	1	1	1	1	1	880.667613533787	1	1	1
Agt	1	209.173954762559	1	1	1	1	1	1	1
Agtpbp1	1	1	1	1	1	1	1	1	252.669486326832
Agtr1a	1	1	1	1	1843.19606408366	1	1	1	1
Agxt2	1	337.614904220402	1	1	1	1	1	1	1
Ahctf1	1	1	1	199.046368057873	1	1	1	1	1
Ahcy	1	641.42464711094	1	1	1	1	167.424782034419	1	1
Ahcyl1	1	125.767184533798	1	1	1	226.323567909293	1	1	1
Ahdc1	1	1	1	1	1	526.613239004301	1	1	1
Ahnak	1	1	1	360.365464531355	1	225.012675963078	1	1	1
Aida	1	1	1	1	1	1	1	1	144.991045376003
Aig1	1	1	222.04738872133	1	1	348.550556598981	1	1	1
Airn	1	1	1	1	449.727494719067	525.305961865162	154.365165912307	1	1
Ak2	1	341.095844522276	1	1	1	1	1	1	1
Akap1	1	243.006471377136	1	1	1	1	1	1	1
Akna	1	1	1	1	1	1	234.62474560374	267.774750257994	1
Akr1c6	1	320.021932847744	1	1	1	1	1	1	1
Albfm1	1	183.843488645513	1	1	1	1	1	1	1
Alcam	1	744.980776911802	1	792.738924306077	1207.1975385153	5630.27360327284	281.501894501798	2669.70770973158	1
Aldh1a1	1	183.998537597984	1	1	2247.89426050132	474.74895081836	1	1	1
Aldh4a1	1	266.294322031152	1	1	1	1	1	1	1
Aldh8a1	1	203.594056839814	1	1	1	1	1	1	1
Alg13	1	1	1	1	1	1	1	1	171.516255337789
Alms1	1	1	1	1	1	1	1	1	247.496624379528
Alpk1	1	1	204.420684241905	1	1	1	1	1	1
Als2	1	157.602849439192	1	1	1	1	1	1	1
Ambp	1	269.59894702787	1	1	1	1036.07640332722	1	1	1
Amdhd1	1	365.332674507325	1	1	1	1	1	1	1
Amfr	1	180.394453407988	1	1	1	1	1	1	1
Ammecr1l	1	273.819650028366	1	1	1	1	1	1	1
Amn1	1	1	1	1	1	205.271177625111	1	1	1
Amotl1	387.630455406633	1	1	1	1	1	1	1	323.816629560147
Amotl2	1	1	1	1	1	286.344897725611	1	1	1
Amz1	1	1	225.944659158137	1	1	1	1	467.631606097614	1
Anapc15	933.569117296747	1	1082.78980950962	199.374807764331	1	1	239.592023633125	1	393.296934975094
Angpt1	1	1	1	1	330.05019935978	1037.54013921193	1	1	1
Angptl2	1	1	1	1	403.324171354505	1	1	1	1
Angptl4	1	165.752558638589	1	1	1	1	1	1	1
Angptl6	1	1	1	1	213.850807263365	1	1	1	1
Ank2	1	1	1067.04786374964	1	1	1	1	1	1
Ank3	1	1	1	1	10165.8931955654	1889.72565001107	1	1	1
Ankle1	1	1	1	1	1	1	1	1	178.72425290792
Ankle2	1	1	1	1	1	1	1	249.535251921356	1
Ankrd13a	1	1	1	245.420826606606	1	1	1	1	1
Ankrd13c	1	216.742938227752	1	254.760772126073	1	1	1	143.722679685534	1
Ankrd33b	1	292.400633623129	1	1	1	1	1	1	1
Anks3	1	1	1	1	1	199.962344786109	1	1	1
Anln	1	1	1	1	1	1	1	1	343.447308880408
Ano1	1	1	1	1	394.908020309518	1	1	1	1
Anpep	1	1	1	1	1	1	1	158.338363026225	1
Antxr2	1	1	1	1	1	1	302.019053974724	269.389308900457	1
Anxa13	1	1	1	1	1	652.69151766696	1	1	1
Anxa3	1	1	294.901144013093	1	1	1	1	1	1
Anxa4	1	1	1	1	1	1005.34514371947	1	1	1
Anxa5	1	1	1	1	1	502.400468319448	1	1	1
Anxa6	1	1	1	1	1	1	1	321.968556473959	1
Anxa7	1	1	1	1	1	1	1	163.020244263679	1
Aoah	1	1	610.359958697295	1	1	1	1	1	1
Aox1	1	188.515591487342	1	1	221.645945853115	1	1	1	1
Aox3	1	2797.15370112219	1	785.804888769475	1	1	558.247995353463	1	1
Ap1b1	461.43098130569	1	1	1	1	1	1	261.283494852176	210.296891435038
Ap1s2	1	1	197.508187869974	1	1	1	1	165.958785352943	1
Ap1s3	1	1	1	1	1	1	1	426.686267620756	1
Ap2b1	1	1	200.261093981275	197.522337502961	1	1	1	1	290.257560945476
Ap3m1	1	227.342015724777	1	1	1	1	181.90232610188	1	1
Ap3s1	1	95.3913824278992	1	1	1	203.058492494926	1	1	1
Apba1	1	1	1	216.761171097552	1	1	1	251.948188586594	1
Apbb1ip	1	1	695.990942885248	492.774857836981	1	1	872.979044678348	654.897336230436	1
Apbb3	1	159.772553177581	1	1	1	1	1	1	1
Api5	1	1	1	1	1	1	1	1	157.787585216239
Aplp2	252.569542940918	104.916141247091	1	1	1	622.96949833956	1	1	158.790830444433
Apoa5	1	1626.65455643712	1	1	1	1	557.306513899589	1	1
Apobec1	1	186.865566190146	1570.92206224396	1	206.298723085676	1	1	1	1
Apoc2	1	168.912811183268	1	1	1	1	1	1	1
Apoc4	1	177.19902980005	1	1	1	1	1	1	1
Apoh	1	162.919407762886	1	1	1	1	1	1	1
Appbp2	1	1	1	1	1	225.029822686774	1	177.810360431358	1
Appl2	342.480157511603	1	315.090546177108	1	1	1	1	1	1
Aqp1	1523.07693424041	1	1	251.899864231002	1	1	1	1	849.68224483158
Aqp9	1	197.992327303213	1	1	1	1	1	1	1
Arap1	1	92.2592742039686	379.931667756162	1	1	1	1	168.220784356977	1
Arap2	1	1	250.160997210123	299.372969671916	1213.99449180066	198.999586629225	598.235392421504	1	1
Arap3	849.081479450938	1	1	1	1	1	1	1	395.227118269674
Arfgap2	1	189.186744392289	1	1	1	1	1	1	1
Arfgef2	1	155.666682640474	248.458378271329	244.450863453292	1	1	1	1	1
Arfrp1	1	1	1	1	1	1	1	124.796362400189	1
Arhgap10	1	1	260.256073625705	1	787.776993564545	1	227.92695233187	1	308.532639847236
Arhgap15	1	1	1441.14769543863	3344.82645110583	1	1	5936.87875961796	3469.44855163559	1
Arhgap19	1	1	326.198108834936	1	1	1	1	1	1
Arhgap22	1	1	309.607438985292	1	1	1	1	621.612455454643	1
Arhgap23	1054.95434796415	1	1	1	225.89735702211	1	1	1	828.191678629681
Arhgap24	1	153.652905855672	1	739.449198931894	4529.39942044215	390.293886138807	1	1	1
