"","HFDHFDHFD_wt_1","HFDHFDHFD_ko_2","HFDHFDHFD_ko_3","HFDHFDHFD_ko_4","HFDCDCD_wt_5","HFDCDCD_ko_6","HFDHFDHFD_ko_7","HFDHFDHFD_wt_8","HFDHFDHFD_wt_9","HFDHFDHFD_ko_10","CDCDHFD_wt_11","CDCDHFD_ko_12","CDCDHFD_ko_13","CDCDCD_wt_14","HFDCDCD_wt_15","HFDCDCD_wt_16","HFDHFDHFD_ko_17","CDCDCD_wt_18","CDCDCD_wt_19","CDCDCD_wt_20","CDCDCD_wt_21","CDCDCD_wt_22","CDCDCD_ko_23","CDCDCD_wt_24","CDCDCD_ko_25","CDCDHFD_wt_26","HFDCDCD_ko_27","CDCDHFD_ko_28","CDCDHFD_wt_29","HFDHFDHFD_ko_30","HFDCDCD_ko_31","CDCDCD_ko_32","CDCDCD_ko_33","CDCDCD_ko_34","CDCDHFD_ko_35","CDCDHFD_ko_36","CDCDHFD_wt_37","CDCDHFD_wt_38","HFDCDCD_ko_39","HFDCDCD_ko_40","HFDCDCD_wt_41","HFDCDCD_wt_42","HFDHFDHFD_wt_43"
"CE(14:0)",6.65002452182442,0,4.1813067322239,0,10.9382468385422,0,3.52241214886035,4.00562885471153,3.57526367510745,4.03244563889568,2.57980908255993,0,1.26619134539367,0,3.79066236146261,5.47233670860588,1.59524430613094,2.44916902527243,3.9778934688961,5.03089848308051,0,0,1.1463496358222,3.04242983083565,4.24971307388583,0,0,0,0,8.75712448723151,1.75337783235031,0,0,3.57522660137178,4.56603909163004,2.55253139137841,0,0,0,2.54496629929286,24.0364184458629,4.57168099917688,12.2812116263046
"CE(16:2)",0,0,0,0,6.95727232451675,0,3.00022754016809,0,4.39469674625755,0,0,0,0,0,0,3.1019561077497,0,0,3.27309773177354,0,0,0,1.23410790050135,2.73672021095992,4.8695847567646,0,0,0,0,2.18668928796687,0,0,0,2.68910118890076,0,0,0,0,0,0,0,0,0
"CE(16:1)",158.015358702032,451.75203872796,275.383565383888,166.91540602917,786.96697005262,117.962914762567,351.729455297838,329.589850886096,195.499540073851,253.928560957733,53.091592396699,31.0695555401223,27.6872110868251,60.1633103333516,271.043450562876,207.368819968606,94.4103835556701,78.8651360793417,310.314930279088,96.4151158526421,57.7608158193348,90.2598625570471,96.2336563954146,318.382563921373,409.237245294277,42.5143914905814,111.40090377305,45.995587074743,38.7247635539185,222.207191226586,146.697249907868,136.211458996317,170.880354780985,445.11771567197,180.419665867775,146.627023073737,55.6524861195339,59.0574907037264,118.723234163995,147.184310887431,37.2913942920017,157.485707270638,152.060588970832
"CE(16:0)",107.57445388691,219.14698913728,112.307326730333,144.76813390754,310.988966959171,46.5994734750646,174.689734480701,184.674410570692,146.272612177031,171.463083312973,74.8317676230209,44.6733085234866,32.1374511696042,24.3838068530995,104.613299589842,92.1484469539595,78.582115007235,28.4272297500521,158.214744492762,42.1777762960493,24.2658959485047,36.9705803889225,36.638432799876,106.680996371972,206.992597709429,51.1588111654273,44.4920876463134,39.8167506705296,38.8113567492608,159.83102671041,67.7222130961962,38.1917997023979,48.8083217925776,159.282749833416,72.7021193254262,50.4508631750025,49.9043728619961,46.0074442981844,55.6172504792277,65.4317120468879,66.1798403810356,95.0435747219198,140.242585551331
"CE(18:4)",0,0,0,0,2.80606875539216,0,0,0,0,0,0,0,0,0,2.51998429182302,0,0,0,3.67435536228333,0,0,0,0,1.3680595651537,0,0,0,0,0,0,0,0,0,2.08647653653353,0,0,0,0,0,0,0,0,0
"CE(18:3)",26.7286302350075,40.9863605950882,40.5342733547655,87.0118346855743,69.9825740912023,36.2720941784224,29.4671762153601,34.6215170973534,23.9679501924838,37.795162472514,28.0892002963289,17.0357407467007,18.207562316886,13.5726564317063,55.0749803647788,42.0666202513517,15.9427096671886,22.021865239421,61.6478552908271,35.6102617102851,14.7242772813443,14.1677965125521,29.211816616895,40.7573555898346,43.3773695258932,25.0796125857868,17.927915709566,11.0205403225264,14.2880819435171,28.4149564605162,25.1383884172551,8.38025028421436,12.2410083249047,57.7431676444496,16.2417599558346,16.213352919574,5.87952874124927,14.9543769828512,25.472053501586,32.092340702045,19.5796851331288,37.4073783078313,28.0606206139791
"CE(18:2)",369.692552601323,733.383585878463,524.85259195348,908.88719217683,883.082414755283,321.741873634015,460.770657356853,578.134601647279,357.443576167299,475.626581969216,368.948490458766,243.838619005111,310.955802097382,151.786602022158,628.725394886116,258.031412864227,302.254479573431,229.786678183347,604.231461178824,356.502790465078,119.450868988892,166.035694621387,238.781941471873,441.683560551874,599.775421922499,398.16131271795,175.145273706685,204.852837869632,245.187711407377,384.991817217287,219.526703872208,127.573543264229,183.374321948183,706.449755343669,294.652301814374,217.060739953587,204.276170345554,204.074103281145,259.971186163857,333.699996687265,188.549508256023,448.807909211112,326.309605736596
"CE(18:1)",1114.41701332218,3183.53516608942,2288.96337934947,2618.44643222537,2463.99336074429,724.853973773098,1941.88194903769,2618.50343313295,1178.02049021868,1911.83073540191,576.009560980006,369.661660994957,397.232948309538,373.283610007545,1684.31313378131,889.72557885617,861.301851771096,502.211045215822,1406.78672138176,659.634939156526,205.722708660129,426.747729288527,563.996658946125,892.150111598487,1383.40871449037,860.086660244264,476.404124260115,373.876766669131,394.467624679908,1726.0227432075,734.972388023936,560.804928430654,739.803893254493,2248.27487321628,955.452725942348,739.739328181527,433.569906325253,493.638184785048,720.926234172591,1146.8350721794,434.808624548764,1891.23716242461,940.153605532447
"CE(18:0)",80.0804629398853,135.345416797859,91.8822369043117,149.793970829665,112.114156802089,35.6475362606795,87.9208885220485,131.500722148489,72.2032505225848,106.573075983386,49.4998556788198,31.5835502924502,29.6490210668279,13.7507636510785,68.2154201937342,49.8014131620032,55.2570683264287,21.3651769532726,59.9461178824442,37.2132288714786,10.2206819469985,20.1183944562065,21.3503821877474,36.0690467162468,66.4434052686892,70.9832669861945,20.4664464129699,19.0086766198584,23.6020705999751,86.7047538955737,34.7567917740168,21.6003002357114,28.3117093285614,93.5657893441827,45.4149259747714,35.2150272306045,29.4074998675247,31.0282448999399,38.3933879466703,56.461054214181,143.790415325832,91.5295230926827,107.957699747365
"CE(20:4)",218.553327330176,258.311087059194,255.231843324508,237.449718051821,163.202823743384,72.9876614345321,126.383301451684,196.209380123351,149.758616434986,193.960224774004,143.986269211349,87.1893135848309,141.608264544482,49.86643395652,135.959036565145,95.8663000707574,134.474508513548,66.8929827943887,144.516289989996,120.107611268545,24.9583959854201,48.6748370658256,51.2223139007443,68.7907954946958,116.747949587015,101.931115746565,57.5622706574631,131.232981857048,125.314683503438,142.882615987131,47.2703802798513,56.7280364847841,68.613204699292,128.060707222383,73.1734902489999,92.6087897422274,107.172612353762,89.6502150426749,62.3471654646575,71.0528768554501,76.6509348787785,194.523398183498,135.94498736826
"CE(20:3)",23.0527902620217,32.0287783375315,24.1536414996218,30.2685360108497,32.3246543187807,11.1280945757997,16.5980330044783,29.3963931610586,17.4784599750911,27.3378939653066,11.642344284868,10.6505988749181,10.7693571827187,6.50386789223982,23.06292870233,17.5106545835596,13.4087827310749,8.11809018485814,31.1849329331782,14.2853208868145,4.44452430794954,7.92153265249233,9.78241726944131,17.3917878163752,21.2557644598666,8.37764127959746,9.66832801985755,9.6212923912532,12.1406525838476,23.9741902047162,10.1396030784638,9.16916702147739,14.336456858321,26.9619612938922,9.7902371699097,14.936040818559,9.55127735614656,9.36594864453355,13.3344794684225,13.3021341657642,0,22.9682331466384,12.621106489397
"CE(20:2)",4.91966328721086,0,5.33413388804841,0,10.372262336875,0,4.9425488960398,5.39066379108439,3.77404914035926,7.03698998289763,1.50354521202226,0,1.69403978514626,0,8.70321144951566,4.33311713816969,3.27912148902852,0,8.63070986709132,2.11413902317053,0,0,1.19998617841571,5.35526796563284,5.54539937158477,2.56471553000748,0,0,2.76852570640331,8.6638184689552,2.40755172225739,2.42700277849715,0,8.86763660255549,0,2.33697189426556,0,2.6054509830089,0,3.94186812766771,0,6.41023568644103,2.3627463189323
"CE(20:1)",7.55490878685309,20.2403475283375,11.3406403649773,14.6699207689928,16.6768092399288,4.04176435525532,9.58868489590595,15.8433620891561,6.90589042913132,16.3845590031762,3.14197466891608,2.46278912590178,2.16519206622332,2.4067687641465,10.6058469325421,7.0318600961109,3.94040238656861,0,8.05046854902921,4.01124187364561,1.83918781541383,3.18779278044375,2.90373517844503,5.77253815461776,7.75537015484603,4.77735465995764,2.82221592191216,3.17764013901306,0,12.2244525172716,4.51042476785098,3.32197383033171,5.70749241422236,13.2504692959298,5.2770072688875,8.6530744407373,0,3.57939229971307,3.30899744698409,2.87087214117347,11.7049174397661,13.0603414444675,5.92359711128691
"CE(20:0)",13.1048955209481,8.95209186083123,4.3194745177761,12.2476147422018,3.7762659433075,2.81513014106894,2.82160181585977,7.23311148411273,4.52765159467253,5.93080869777669,3.73386803292484,1.84198781415313,1.67279333116309,0,3.70030543677459,17.324714453644,3.93479831116573,4.61804776851473,2.28324452338662,19.9220603433906,0,0,1.31333573465909,1.74842340207341,4.12102933231554,6.20609624050572,0,1.66706452545324,0,3.74069829411276,2.0073382063007,2.89677685551376,0,3.7935667155669,0,2.81395832193841,0,0,3.74484626030447,0,209.337784778169,6.9980072008034,153.657397095976
"CE(22:4)",0,0,0,0,12.5284247506976,0,1.98697778694879,0,2.70466095418899,0,0,0,2.14670278565781,0,8.46920324635657,9.2007923689819,0,0,11.3655907392662,0,0,0,0,5.15426659542748,6.49297965042051,0,0,0,0,0,0,0,0,12.16901037545,0,0,0,0,0,0,0,0,1.43248526296986
"CE(22:3)",0,0,0,0,2.93769810118219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76537387647469,1.80742164296446,0,0,0,0,0,0,0,0,2.81274314343817,0,0,0,0,0,0,0,0,0
"CE(22:1)",3.84250556766014,0,3.57719364599092,0,2.8479212491936,0,3.19067866085919,3.91441857287844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62424013926112,0,2.25862008566743,0,0,0,3.91885276760526,0,0,0,2.45131678173516,0,3.21159234573882,0,0,0,0,20.6360461523389,0,3.62321943501671
"CE(22:0)",7.94476720346682,5.57824307304786,0,0,0,0,0,3.22394312592708,0,0,0,0,0,0,0,10.427997226425,0,0,0,6.80418736456076,0,0,0,0,0,3.88927803697393,0,0,0,0,0,0,0,0,0,0,0,0,3.50150000429801,0,77.4684371961927,0,129.914594635976
"CE(24:4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11677284230736,0,0,0,0,0,0,0,0,2.53583905688507,0,0,0,0,0,0,0,0,0,4.01992203449794,0,0,0,0,0,0,0,0,1.34163778804195
"CE(24:1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9330640359934,0,0
"CE(24:0)",3.30101062076396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87024489986912,0,0,0,2.65073512252042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1920341243943,0,76.2133421798045
"Cer(d18:1/12:0)",1.17698257598999,1.91583399902492,1.9661802301219,2.12323334795159,2.07568691219432,1.83679092382496,2.24375835851966,2.40273688139758,2.04746512423517,2.27308291714792,2.10529164517706,1.24308924489842,2.08739070231178,1.4913136980908,2.55170886226689,1.47962952490465,1.09676790036218,1.7394472361809,1.3670169030728,1.2554047557754,1.72704756941709,1.39897075573569,1.4110042378097,1.30259909252615,1.68096789999949,2.1860215373384,2.05060372726921,1.76674285702016,1.37244689305274,2.56352597715662,1.75640889202084,1.48570311867999,2.46407882065338,1.64869944153894,2.42658366182739,1.75609642953342,1.57030076184518,1.73206516792573,1.66595926847956,1.42899566646761,1.39397113064068,2.19215531504728,1.64631406116884
"Cer(d18:1/16:1)",1.01126461160135,1.15028165048788,0.988134459467252,0.622071812646733,0.704565254482209,0.754300564466551,1.10155480394202,1.24296998019458,0.780540537790716,1.09872134827805,0.816885291936056,0.884915487239099,0.719430062659615,0.643539893490026,0.665891823659704,0.927798324819192,0.803461502040999,0.641256009147907,0.906998530466987,1.00066342061144,0.615139561329625,0.660594648166502,0.697548166253436,0.700946869343785,0.608272806619062,0.724896349924083,0.728797330107907,0.592636340114597,0.799063850999111,1.55298246936497,0.61277212309042,0.878216141584491,0,0.622058968264873,0.829431464923245,0.776799823422021,1.27599206875162,1.02497343210991,0.429736627556627,0.93972131895898,2.08750056919084,0.748843839969237,0.99431537994058
"Cer(d18:1/16:0)",13.3465382673582,17.6472824905182,13.5747331070301,7.44246058793588,14.3439686480426,8.70233052031521,14.1204365720424,18.4875957881309,16.3793933798047,25.8882845569456,16.2785900879685,14.8625186266084,10.2166658138385,6.40453176424375,13.7259937599733,14.2252023600822,13.4893402720857,9.5315171056521,17.3641081366955,11.5852045208562,11.8440706380899,8.64888865878733,10.0478913526409,15.3431222720456,18.542089588044,8.23071680552071,10.5881831122787,10.1177884971533,9.02971144322754,21.3523838240121,15.0773721223713,9.12111432978512,11.5492944896503,15.8266548952313,14.1547703746435,10.0315713569569,14.3752896019001,12.2124608211753,11.1990971879491,13.2137013276798,11.0376121305951,14.6496827517115,13.8408095981034
"Cer(d18:1/18:2)",0,0,0,0,0,0,0,0,0,0,0.279908216543621,0,0,0,0,0,0,0,0,0,0,0,0,0.23705931455512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cer(d18:1/18:1)",0,0,0,0,0,0,0,0,0,0,0.34561640019556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cer(d18:1/18:0)",2.38048936031442,3.53582443137731,2.6340142932382,1.61197640647924,2.07344450209094,0.93245962108087,2.13124999147959,3.12915927511783,2.59191876798793,5.03709391420345,3.5062736968349,3.76563594281039,2.03563907069636,0.688012988054342,1.9240526829733,2.51498576787498,2.88516317302317,0.937415405199372,2.35494992982877,1.38877702700832,1.05073875904639,0.941855834800231,1.33138382364147,2.00369380976476,3.18792638794604,1.76959090471327,1.25888829782492,1.89250911761264,1.99251237389588,4.40798026292027,2.43890366977425,1.06444853873513,1.28206923709749,1.51842005509577,1.50892029612537,0.746142220093975,2.90194517047413,2.4209945941234,0.96224304213032,1.42738986830614,1.50320568280133,2.38676917783613,2.82899738593893
"Cer(d18:1/20:2)",0.37643374262324,0,0,0,0,0,0.407102066301039,0.779226591817986,0,0.730891965316979,0.615437834161033,0.658609666668728,0.426095923015973,0,0,0,0.659627926204312,0,0,0,0,0,0.305431781814345,0,0,0.432472228200192,0,0,0.358416924279456,0.54127590609497,0.263956251775204,0.283724164384458,0,0,0,0.250470812258702,0,0.527656372383752,0,0.421130861425424,0,0,0.359707766194169
"Cer(d18:1/20:1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25520869713079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271666408435676,0,0,0,0,0,0,0,0,0
"Cer(d18:1/20:0)",6.35954842029234,4.12515307091733,4.84461312532917,5.87160024164161,2.68438913475701,1.80428100374448,2.95278494628054,8.25350037780705,6.72358274481076,8.88327341347953,6.86726170032097,7.10480818973068,3.9512483079113,1.4285059683245,1.67694524495677,1.59552338404117,7.18889195482819,2.0731783919598,1.9387027067228,2.69376929017685,2.16137850519202,3.04671834090203,2.70830739653121,1.68159238610891,2.958118916491,3.85798459308651,2.87585952753846,3.97622581833056,4.87724338438612,7.44350449376621,2.81787770055764,1.84482169687241,4.90920029163954,1.75676355688342,2.11627567862065,2.44854267051746,5.19615313247199,5.00619297838547,2.11948966987782,2.87293760813052,4.27156322571832,4.40813840525812,5.01376914168061
"Cer(d18:1/22:2)",4.37661105058591,4.25251173639071,4.35620917796581,4.57800392051189,6.58534181085062,6.35962108086961,5.31221226584216,7.04775589859188,4.26705049402829,6.47294854484228,6.26086594625678,9.26938022601315,5.54581269101414,2.82724716494451,5.51546431038179,4.61782804576901,4.77762221812676,3.75842836473389,4.30314303776025,3.92641548953336,3.84416698479257,3.52936348978596,3.88902448316892,4.7511512392133,6.44968864683874,5.67179517056635,4.30130136436716,2.81380401722496,3.43311310647749,4.74541805452824,3.90918630027648,3.67787765059622,10.7871085967382,6.42058987754004,4.32197000288434,4.1716324858588,2.69444388482725,4.5130037162998,4.86617795022673,5.13241914426481,4.31722599153044,4.44605918932184,2.77993945297273
"Cer(d18:1/22:1)",3.5458821795835,5.91200693997789,4.74713039600497,2.54868532520347,2.66118019018702,2.92464092103057,4.43299647050644,7.11427168404096,4.75724305632393,7.84191081973614,3.13327888678437,2.70452046917412,2.3595298900782,3.01961578207169,2.08340438707219,1.13105770137043,3.6119374779176,2.80053635048307,1.09396830381183,3.04985453649598,3.33767519648062,2.95769596023845,3.52449078877186,2.433339792113,2.46283923458164,1.72449066703446,3.17370376203963,3.11024318286007,2.97839001684651,6.66729138104593,3.15557962442969,3.94723121824943,11.243465987734,1.61258393725279,3.16174630644489,4.12103840571035,3.38045286579967,3.16651612597218,3.23858723956558,2.66241335172964,2.39132553162424,5.30043767108386,2.69389147560601
"Cer(d18:1/22:0)",48.8157441740807,36.9430784478437,35.3736044102213,39.2948739219033,18.8252009986385,21.5554462639021,31.8887692850901,43.7493575468091,48.4183301093361,58.5508213629191,76.538218009203,83.4838853816935,48.6717230075995,13.9196434411497,9.1512468144902,9.80136703802145,46.2800841447608,17.1802820215629,9.68863529000208,21.4519003448126,27.1966741199022,19.2664627309439,23.2383489540289,11.0701111246817,14.950428493408,48.6259813019662,22.7411369627303,36.6129161437303,49.0414776382529,40.96412870561,22.4099436608578,16.0142008058703,33.4688869740839,10.6005123692645,17.019933660225,22.0390523523778,36.7440306222531,49.9991047037664,21.995280618853,17.6598270423162,39.6927781066436,31.2598415276492,30.9815666895542
"Cer(d18:1/24:2)",3.13479584220074,2.27896834207316,4.51397646498003,1.44609437056058,5.59189807480039,3.91887330240876,4.44941400046078,4.30450487343917,4.44572302112068,4.41636218704755,3.24167577527597,5.34141465355024,4.15231325775725,2.92109612835974,4.53064996308381,6.44801221512187,3.24512415526867,4.41436866997526,6.75122307290784,3.81939679472807,4.14123295501599,3.40890463440972,4.40468327794287,6.59280375625484,5.88850315691689,2.96834603371258,4.04828926604714,3.247106466446,3.3534882446358,5.04578977371771,3.87060585251153,2.88851921099968,4.72213770220796,4.57082340605703,2.43215620292921,2.87573137700895,2.85030457902355,2.9945933542458,3.22045655949807,3.43373173529265,2.00769546013387,3.45087281227705,4.30046316691198
"Cer(d18:1/24:1)",22.9554188840227,32.8275067580095,26.9867474233343,12.1403532687664,47.658278288665,26.8649304197172,33.722703954696,36.9344652444693,28.9390113838261,39.9429080379366,19.9707848022527,30.3650646237683,18.1029603993097,18.6138902628333,34.139007311787,51.3899836000679,21.4264487835971,23.3606486379265,43.4470567333397,21.6002172033546,30.8490408756441,26.6406976021774,27.5499844672259,48.3362966581784,42.0390715040399,13.8471512429092,30.4688192622135,20.450188579177,17.7198302039197,30.7939670619422,28.2008023024625,21.8778725605062,40.0290087764786,36.0760000116935,21.2921635740153,25.5585331682279,23.3422301864586,21.1100937471557,27.4223682524275,26.8474629846773,13.4311370156186,27.5104087291347,21.2203688240107
